,director_name,title_count,year_min,year_max,active_years,movies_per_yr
0,Adam McKay,6,2004,2015,12,0.5
1,Adam Shankman,8,2001,2012,12,0.6666666666666666
2,Alejandro González Iñárritu,6,2000,2015,16,0.375
3,Alex Proyas,5,1994,2016,23,0.21739130434782608
4,Alexander Payne,5,1999,2013,15,0.3333333333333333
5,Andrew Adamson,5,2001,2012,12,0.4166666666666667
6,Andrew Niccol,5,1997,2015,19,0.2631578947368421
7,Andrzej Bartkowiak,5,2000,2009,10,0.5
8,Andy Fickman,6,2006,2015,10,0.6
9,Andy Tennant,6,1998,2010,13,0.46153846153846156
10,Ang Lee,8,1995,2012,18,0.4444444444444444
11,Anne Fletcher,5,2006,2015,10,0.5
12,Antoine Fuqua,8,1998,2015,18,0.4444444444444444
13,Atom Egoyan,6,1994,2009,16,0.375
14,Barry Levinson,13,1982,2008,27,0.48148148148148145
15,Barry Sonnenfeld,7,1991,2012,22,0.3181818181818182
16,Ben Stiller,5,1996,2016,21,0.23809523809523808
17,Bill Condon,5,1998,2013,16,0.3125
18,Bobby Farrelly,11,1994,2014,21,0.5238095238095238
19,Brad Anderson,5,1998,2013,16,0.3125
20,Brett Ratner,9,1997,2014,18,0.5
21,Brian De Palma,12,1980,2007,28,0.42857142857142855
22,Brian Helgeland,5,1999,2015,17,0.29411764705882354
23,Brian Levant,6,1994,2010,17,0.35294117647058826
24,Brian Robbins,6,1999,2012,14,0.42857142857142855
25,Bryan Singer,8,1995,2016,22,0.36363636363636365
26,Cameron Crowe,6,1996,2015,20,0.3
27,Catherine Hardwicke,6,2003,2013,11,0.5454545454545454
28,Chris Columbus,11,1990,2015,26,0.4230769230769231
29,Chris Weitz,6,1999,2011,13,0.46153846153846156
30,Christopher Nolan,8,2000,2014,15,0.5333333333333333
31,Chuck Russell,6,1987,2016,30,0.2
32,Clint Eastwood,19,1982,2014,33,0.5757575757575758
33,Curtis Hanson,7,1983,2012,30,0.23333333333333334
34,Danny Boyle,8,1996,2015,20,0.4
35,Darren Aronofsky,6,1998,2014,17,0.35294117647058826
36,Darren Lynn Bousman,5,2005,2016,12,0.4166666666666667
37,David Ayer,6,2005,2016,12,0.5
38,David Cronenberg,7,1983,2011,29,0.2413793103448276
39,David Fincher,10,1992,2014,23,0.43478260869565216
40,David Gordon Green,8,2000,2015,16,0.5
41,David Koepp,5,1999,2015,17,0.29411764705882354
42,David Lynch,5,1977,2001,25,0.2
43,David O. Russell,8,1996,2015,20,0.4
44,David R. Ellis,5,2003,2011,9,0.5555555555555556
45,David Zucker,5,1991,2008,18,0.2777777777777778
46,Dennis Dugan,9,1996,2013,18,0.5
47,Donald Petrie,8,1988,2009,22,0.36363636363636365
48,Doug Liman,7,1996,2014,19,0.3684210526315789
49,Edward Zwick,7,1989,2010,22,0.3181818181818182
50,F. Gary Gray,8,1995,2015,21,0.38095238095238093
51,Francis Ford Coppola,9,1979,2011,33,0.2727272727272727
52,Francis Lawrence,5,2007,2015,9,0.5555555555555556
53,Frank Coraci,7,1998,2015,18,0.3888888888888889
54,Frank Oz,7,1986,2007,22,0.3181818181818182
55,Garry Marshall,8,1990,2011,22,0.36363636363636365
56,Gary Fleder,6,1995,2013,19,0.3157894736842105
57,Gary Winick,5,2002,2010,9,0.5555555555555556
58,Gavin O'Connor,5,1999,2016,18,0.2777777777777778
59,George A. Romero,6,1982,2010,29,0.20689655172413793
60,George Clooney,5,2002,2014,13,0.38461538461538464
61,George Miller,7,1979,2015,37,0.1891891891891892
62,Gore Verbinski,7,2001,2013,13,0.5384615384615384
63,Guillermo del Toro,5,2002,2013,12,0.4166666666666667
64,Gus Van Sant,7,1991,2012,22,0.3181818181818182
65,Guy Ritchie,7,1998,2015,18,0.3888888888888889
66,Harold Ramis,8,1980,2009,30,0.26666666666666666
67,Ivan Reitman,8,1981,2014,34,0.23529411764705882
68,James Cameron,7,1984,2009,26,0.2692307692307692
69,James Ivory,7,1985,2009,25,0.28
70,James Mangold,8,1997,2013,17,0.47058823529411764
71,James Wan,7,2004,2016,13,0.5384615384615384
72,Jan de Bont,5,1994,2003,10,0.5
73,Jason Friedberg,5,2006,2010,5,1.0
74,Jason Reitman,5,2005,2013,9,0.5555555555555556
75,Jaume Collet-Serra,6,2005,2016,12,0.5
76,Jay Roach,8,1997,2012,16,0.5
77,Jean-Pierre Jeunet,5,1997,2013,17,0.29411764705882354
78,Joe Dante,6,1981,2009,29,0.20689655172413793
79,Joe Wright,6,2005,2015,11,0.5454545454545454
80,Joel Coen,11,1994,2016,23,0.4782608695652174
81,Joel Schumacher,13,1987,2007,21,0.6190476190476191
82,John Carpenter,10,1978,2001,24,0.4166666666666667
83,John Glen,5,1981,1989,9,0.5555555555555556
84,John Landis,5,1977,1994,18,0.2777777777777778
85,John Madden,5,1998,2015,18,0.2777777777777778
86,John McTiernan,10,1987,2003,17,0.5882352941176471
87,John Singleton,7,1991,2011,21,0.3333333333333333
88,John Whitesell,5,2001,2011,11,0.45454545454545453
89,John Woo,7,1996,2010,15,0.4666666666666667
90,Jon Favreau,6,2001,2016,16,0.375
91,Jon M. Chu,5,2008,2016,9,0.5555555555555556
92,Jon Turteltaub,7,1993,2013,21,0.3333333333333333
93,Jonathan Demme,5,1991,2008,18,0.2777777777777778
94,Jonathan Liebesman,5,2003,2014,12,0.4166666666666667
95,Judd Apatow,5,2005,2015,11,0.45454545454545453
96,Justin Lin,5,2002,2016,15,0.3333333333333333
97,Kenneth Branagh,7,1989,2015,27,0.25925925925925924
98,Kenny Ortega,5,1993,2009,17,0.29411764705882354
99,Kevin Reynolds,5,1991,2016,26,0.19230769230769232
100,Kevin Smith,12,1994,2016,23,0.5217391304347826
101,Kirk Jones,5,1998,2016,19,0.2631578947368421
102,Larry Charles,5,2003,2012,10,0.5
103,Lasse Hallström,9,1993,2014,22,0.4090909090909091
104,Lawrence Kasdan,5,1985,2012,28,0.17857142857142858
105,Lee Tamahori,5,1997,2011,15,0.3333333333333333
106,Les Mayfield,5,1997,2007,11,0.45454545454545453
107,Lilly Wachowski,6,1996,2015,20,0.3
108,Louis Leterrier,6,2002,2013,12,0.5
109,Luc Besson,5,1985,2014,30,0.16666666666666666
110,M. Night Shyamalan,9,1999,2015,17,0.5294117647058824
111,Malcolm D. Lee,7,1999,2013,15,0.4666666666666667
112,Marc Forster,8,2001,2013,13,0.6153846153846154
113,Mark Waters,6,2001,2011,11,0.5454545454545454
114,Martin Campbell,8,1995,2011,17,0.47058823529411764
115,Martin Scorsese,19,1976,2013,38,0.5
116,McG,6,2000,2014,15,0.4
117,Michael Apted,5,1980,2010,31,0.16129032258064516
118,Michael Bay,12,1995,2016,22,0.5454545454545454
119,Michael Mann,6,1992,2015,24,0.25
120,Michael Moore,6,1989,2009,21,0.2857142857142857
121,Michael Polish,5,1999,2015,17,0.29411764705882354
122,Michael Winterbottom,6,2000,2014,15,0.4
123,Miguel Arteta,5,2000,2014,15,0.3333333333333333
124,Mike Leigh,5,1999,2014,16,0.3125
125,Mike Newell,7,1994,2010,17,0.4117647058823529
126,Mike Nichols,5,1994,2007,14,0.35714285714285715
127,Mira Nair,5,1995,2006,12,0.4166666666666667
128,Nancy Meyers,5,2000,2015,16,0.3125
129,Neil Jordan,8,1989,2009,21,0.38095238095238093
130,Nicholas Stoller,5,2008,2016,9,0.5555555555555556
131,Nicole Holofcener,5,1996,2013,18,0.2777777777777778
132,Oliver Stone,14,1986,2012,27,0.5185185185185185
133,Paul Greengrass,7,2002,2016,15,0.4666666666666667
134,Paul Schrader,6,1982,2014,33,0.18181818181818182
135,Paul Thomas Anderson,6,1997,2014,18,0.3333333333333333
136,Paul Verhoeven,5,1990,2006,17,0.29411764705882354
137,Paul W.S. Anderson,10,1995,2014,20,0.5
138,Paul Weitz,5,2004,2013,10,0.5
139,Peter Berg,6,1998,2013,16,0.375
140,Peter Chelsom,5,1998,2009,12,0.4166666666666667
141,Peter Hyams,6,1977,2005,29,0.20689655172413793
142,Peter Jackson,9,1994,2014,21,0.42857142857142855
143,Peter Segal,7,1994,2013,20,0.35
144,Phillip Noyce,9,1992,2014,23,0.391304347826087
145,Quentin Tarantino,8,1992,2015,24,0.3333333333333333
146,Raja Gosnell,6,2000,2013,14,0.42857142857142855
147,Renny Harlin,15,1988,2014,27,0.5555555555555556
148,Richard Donner,11,1976,2006,31,0.3548387096774194
149,Richard LaGravenese,5,1998,2014,17,0.29411764705882354
150,Richard Linklater,11,1990,2014,25,0.44
151,Ridley Scott,16,1979,2015,37,0.43243243243243246
152,Rob Cohen,9,1996,2015,20,0.45
153,Rob Marshall,5,2002,2014,13,0.38461538461538464
154,Rob Minkoff,5,1999,2014,16,0.3125
155,Rob Reiner,11,1986,2014,29,0.3793103448275862
156,Robert Luketic,6,2001,2010,10,0.6
157,Robert Redford,5,1980,2010,31,0.16129032258064516
158,Robert Rodriguez,16,1992,2014,23,0.6956521739130435
159,Robert Schwentke,6,2005,2016,12,0.5
160,Robert Zemeckis,13,1985,2015,31,0.41935483870967744
161,Rod Lurie,5,2000,2011,12,0.4166666666666667
162,Roger Donaldson,7,1984,2014,31,0.22580645161290322
163,Roland Emmerich,8,1996,2016,21,0.38095238095238093
164,Roman Polanski,5,1999,2011,13,0.38461538461538464
165,Ron Howard,13,1984,2015,32,0.40625
166,Sam Mendes,7,1999,2015,17,0.4117647058823529
167,Sam Raimi,11,1981,2013,33,0.3333333333333333
168,Scott Hicks,5,1996,2012,17,0.29411764705882354
169,Shawn Levy,11,2002,2014,13,0.8461538461538461
170,Sidney Lumet,5,1976,2006,31,0.16129032258064516
171,Simon West,8,1997,2015,19,0.42105263157894735
172,Spike Lee,16,1986,2014,29,0.5517241379310345
173,Stephen Daldry,5,2000,2014,15,0.3333333333333333
174,Stephen Frears,10,1985,2016,32,0.3125
175,Stephen Herek,8,1989,2009,21,0.38095238095238093
176,Stephen Hopkins,6,1989,2016,28,0.21428571428571427
177,Steve Miner,5,1981,2001,21,0.23809523809523808
178,Steven Soderbergh,15,1989,2013,25,0.6
179,Steven Spielberg,26,1977,2016,40,0.65
180,Sydney Pollack,5,1982,2005,24,0.20833333333333334
181,Taylor Hackford,6,1993,2013,21,0.2857142857142857
182,Terry Gilliam,6,1981,2009,29,0.20689655172413793
183,Tim Burton,14,1988,2014,27,0.5185185185185185
184,Tim Hill,5,1999,2011,13,0.38461538461538464
185,Tim Story,7,2002,2016,15,0.4666666666666667
186,Todd Phillips,7,2000,2011,12,0.5833333333333334
187,Tom Shadyac,7,1994,2007,14,0.5
188,Tom Tykwer,5,1998,2012,15,0.3333333333333333
189,Tony Scott,12,1986,2010,25,0.48
190,Tyler Perry,9,2006,2013,8,1.125
191,Uwe Boll,5,2005,2013,9,0.5555555555555556
192,Wayne Wang,5,1999,2011,13,0.38461538461538464
193,Wes Anderson,7,1996,2014,19,0.3684210526315789
194,Wes Craven,10,1984,2011,28,0.35714285714285715
195,Wolfgang Petersen,7,1981,2006,26,0.2692307692307692
196,Woody Allen,18,1977,2013,37,0.4864864864864865
197,Zack Snyder,7,2004,2016,13,0.5384615384615384
198,Zhang Yimou,6,2002,2014,13,0.46153846153846156
